linhas,date,from_stop_id,from_stop_lat,from_stop_lng,to_stop_id,to_stop_lat,to_stop_lng,dist,X00,X01,X02,X03,X04
N138-11-0,20171006,1114314,-23.457904,-46.680113,110001081,-23.458883,-46.680387,453,16.559292164616,17.0683672581466,14.7008375511988,23.0452532670259,21.9123434169067
N139-11-0,20171006,110003362,-23.458092,-46.712627,290003359,-23.4627,-46.714222,620,NA,12.3271959300089,17.9101380539704,14.2736708840214,NA
N139-11-0,20171006,640000385,-23.483606,-46.728496,640000536,-23.486454,-46.726619,523,29.4997508850138,21.1232784114913,31.3051749693884,31.847494856683,28.4801124152753
N139-11-0,20171006,640000532,-23.486817,-46.726962,640000384,-23.483779,-46.728533,884,24.2612298050564,19.5272959676952,19.1912228769755,38.6312727272727,35.744347826087
N140-11-0,20171006,640000480,-23.46757,-46.721193,640000484,-23.471621,-46.720949,542,29.9416879795396,26.8935929671298,27.6289620803118,NA,18.8521739130435
N141-11-0,20171006,110001159,-23.462701,-46.696093,110001186,-23.458074,-46.699666,684,28.0696253602306,23.3585014409222,NA,21.1833709019317,19.0021902017291
N141-11-0,20171006,110001189,-23.470177,-46.693263,1114289,-23.466738,-46.694633,442,26.1987804878049,24.4965517241379,25.591677503251,27.8901098901099,26.9387872608409
N141-11-0,20171006,1114289,-23.466738,-46.694633,110001159,-23.462701,-46.696093,483,26.906915052161,24.2422665808113,37.1433671499657,24.4289897920335,21.6029643872262
N141-11-0,20171006,130001851,-23.475025,-46.670187,130001642,-23.4736,-46.669579,221,30.4653739612188,15.2407894736842,30.2147368421053,11.006015037594,12.467055410118
N141-11-0,20171006,290001203,-23.484707,-46.688317,290001284,-23.485627,-46.687591,320,37.4130304841602,55.746403271798,46.5327643500907,47.7286625945687,53.8800255201943
N141-11-0,20171006,290001286,-23.483836,-46.687159,290001210,-23.482466,-46.688558,215,19.2861993013552,14.7020379253727,16.8057306590258,15.8939828080229,22.8354620950901
N141-11-0,20171006,2913562,-23.481004,-46.690263,290001212,-23.481659,-46.69202,450,33.0213222475526,48.3849557522124,46.6618447923758,42.4429436422916,36.9037798110094
N141-11-0,20171006,2913562,-23.481004,-46.690263,290001365,-23.482163,-46.695368,742,18.43128,28.9042128722201,26.3130545454545,29.6159743237835,23.5002035449775
N142-11-0,20171006,210002132,-23.496781,-46.662293,210002092,-23.497209,-46.6631,95,13.4908253863861,23.098812362171,34.2386590680523,33.7032489573326,39.2182296231376
N142-11-0,20171006,290000028,-23.505001,-46.690671,500000030,-23.505061,-46.687434,341,31.3178019053026,27.2341283107655,30.7638859188001,29.067237798823,26.7075503824658
N142-11-0,20171006,290001357,-23.492606,-46.700214,290001361,-23.487055,-46.696997,667,26.7837423542938,24.6598119312347,32.2866793391931,19.7251991331268,NA
N142-11-0,20171006,290001360,-23.488568,-46.698047,290001356,-23.493133,-46.700647,576,NA,30.6494695147891,NA,35.2707095574627,30.2520830543329
N142-11-0,20171006,290001392,-23.499991,-46.70641,2913644,-23.497905,-46.705662,321,21.3172183004262,16.338747710085,23.1246667219586,NA,NA
N142-11-0,20171006,2913673,-23.49828,-46.694192,2914574,-23.501192,-46.694398,352,38.8871606033468,28.5547092126397,34.8550556792873,27.5307749442931,35.6533333333333
N142-11-0,20171006,2914485,-23.498245,-46.706281,640001405,-23.500632,-46.706812,309,NA,19.5330799940223,NA,33.8702932530716,26.010545919771
N142-11-0,20171006,2914536,-23.482654,-46.695153,290001213,-23.481991,-46.692182,646,28.7896103896104,29.0246434731395,34.5604642509865,27.3370024570025,29.7802371541502
N142-11-0,20171006,2914574,-23.501192,-46.694398,290000028,-23.505001,-46.690671,642,32.1764194534269,34.9431483348831,33.0299739105228,28.1512304363269,33.0033266372037
N142-11-0,20171006,500001969,-23.505481,-46.670589,5013400,-23.502078,-46.673064,602,27.818740066119,25.7461757712724,18.3302715349298,25.7650215223279,22.8292615092514
N142-11-0,20171006,500001975,-23.50708,-46.672003,210002129,-23.504374,-46.667806,501,22.3361848384862,21.1638869730242,27.4743289443226,24.8630213179542,27.3068568761059
N142-11-0,20171006,500005013,-23.504114,-46.68324,5013358,-23.509085,-46.68051,682,29.4836498378879,18.3329956738517,33.1636179330882,34.7701839578815,35.9844515811207
N142-11-0,20171006,500005015,-23.503823,-46.680605,5013358,-23.509085,-46.68051,809,38.6015477959161,38.5121120006562,32.9669893199083,33.6313716634641,40.1552112793919
N142-11-0,20171006,640000407,-23.499571,-46.710662,290001392,-23.499991,-46.70641,817,25.7723324396783,27.948652309022,35.6721431341942,43.763163538874,NA
N142-11-0,20171006,640000513,-23.486707,-46.726454,640000360,-23.485948,-46.724827,374,41.5713291632603,31.4602793787242,27.4951877635066,20.3177598605361,33.4990629766834
N142-11-0,20171006,640001405,-23.500632,-46.706812,640000405,-23.498677,-46.710796,851,NA,23.3683103203187,26.363919716647,31.4971115902155,26.4902916528455
N143-11-0,20171006,290000437,-23.474304,-46.708094,2914467,-23.471912,-46.706316,409,23.137507377533,31.9321564468842,23.4167739659582,44.6932561582986,23.2654934035603
N143-11-0,20171006,500005020,-23.503833,-46.677642,500005024,-23.503586,-46.678213,63,27.3323076923077,20.7503496503497,23.52,25.6344827586207,33.0701538461538
N143-11-0,20171006,60017203,-23.526334,-46.666642,60016801,-23.526709,-46.66751,586,25.5640449438202,7.69411764705882,34.6909090909091,NA,5.23776824034335
N143-11-0,20171006,614552,-23.516267,-46.679247,60016884,-23.51895,-46.676385,489,27.7357056437264,24.9550070685843,39.0103450860879,15.2252702869642,26.9336562286607
N143-11-0,20171006,614552,-23.516267,-46.679247,60016886,-23.519015,-46.676446,489,19.9275893248,20.9824265182288,30.9256655926853,25.535187985749,35.0755309871645
N201-11-0,20171006,100014543,-23.544371,-46.623046,800016544,-23.546643,-46.630032,1287,36.9121700886631,38.4593905734827,26.3942615093926,34.7150898629503,9.3838389884602
N201-11-0,20171006,8010137,-23.547665,-46.630157,100014556,-23.546071,-46.621939,1094,19.4196662328343,38.4058612566703,33.4500301569148,46.390243902439,36.7609336680754
N201-11-0,20171006,840004158,-23.482003,-46.591308,840003901,-23.480052,-46.588683,469,27.8185288145543,27.0197326303976,30.5413399446664,29.7387790005988,34.7669056906986
N201-11-0,20171006,8412852,-23.479844,-46.602255,840004402,-23.4813,-46.599958,582,13.1640304750006,27.1486698483314,24.5570437525776,16.0138968520741,27.4827027123185
N201-11-0,20171006,940004127,-23.477129,-46.573971,940003716,-23.479309,-46.572592,317,35.5670199695149,27.6574223712074,34.1682630389183,15.7658855783037,26.5595923341088
N201-11-1,20171006,100014327,-23.540944,-46.613184,1009889,-23.540609,-46.614582,432,31.1170415637388,33.6684433094639,33.5347794994041,23.1050275965881,NA
N201-11-1,20171006,100014555,-23.544914,-46.619655,100014347,-23.541504,-46.616459,632,29.2150883275253,32.0449386325555,27.2484119680225,28.8018697213116,NA
N201-11-1,20171006,80014491,-23.538577,-46.603367,80014529,-23.539733,-46.600071,348,27.1960519926198,24.4392913749469,31.0673088173576,32.6382563287547,33.2760446015176
N201-11-1,20171006,8412863,-23.479663,-46.602124,8412849,-23.480177,-46.602478,64,38.88,NA,NA,43.68,14.4529411764706
N201-11-1,20171006,940003715,-23.477174,-46.573696,940004128,-23.47782,-46.575579,214,27.353182681322,35.3331481701882,42.1234145434257,33.5682575148311,14.686283499907
N201-11-1,20171006,940004423,-23.497421,-46.574693,940004421,-23.496566,-46.575964,275,51.5819241158797,47.9738922404188,44.280371833553,19.091178042988,35.9173177771874
N202-11-0,20171006,6311322,-23.566084,-46.701753,6306764,-23.567682,-46.696858,684,18.0822289002827,36.5052631578947,26.451345625117,33.2,13.6400599335152
N202-11-0,20171006,6311391,-23.565118,-46.699947,6311330,-23.566125,-46.701868,324,20.3850256540191,21.5216482892107,20.4711793719481,24.1304417754585,18.7469166715192
N202-11-0,20171006,6311391,-23.565118,-46.699947,6311327,-23.566723,-46.701536,404,22.95,18.9066666666667,20.8696233776575,25.883651319844,33.8
N202-11-0,20171006,6311391,-23.565118,-46.699947,6311358,-23.566116,-46.70153,276,23.36,23.4663164903455,17.0351683557244,24.6317514797044,13.6745576227502
N202-11-0,20171006,6311391,-23.565118,-46.699947,6311335,-23.566696,-46.701385,369,14.9685695964712,26.8061147717409,17.5010390093505,23.4571954785809,31.8632461264923
N202-11-0,20171006,6311391,-23.565118,-46.699947,6311332,-23.566579,-46.701538,387,35.8478873239437,17.27551455514,25.1089849503973,28.2742835150239,28.0311010415792
N202-11-0,20171006,6311391,-23.565118,-46.699947,6311360,-23.56634,-46.70139,301,22.3838709677419,16.2232851569888,27.289622852042,29.4603605667503,31.2536397091823
N202-11-0,20171006,7113150,-23.5021,-46.62422,710000648,-23.503994,-46.627084,944,37.0694808901401,20.1569580056273,20.5661423170913,18.4410246022269,33.9659426142402
N202-11-1,20171006,440014678,-23.555556,-46.674038,440014680,-23.554458,-46.672206,287,28.3817928226376,32.3061045884208,31.9595634265831,18.4996283610021,35.7649811248295
N202-11-1,20171006,440014680,-23.554458,-46.672206,260016735,-23.552103,-46.675349,508,28.8792995248164,33.7709636421269,41.8233855554846,26.7337430830825,38.305063225762
N202-11-1,20171006,630012858,-23.56607,-46.691698,630014927,-23.564779,-46.689508,233,17.2158631644465,20.7139243810386,25.7540299063264,22.7607596972463,27.3412582827226
N202-11-1,20171006,630014927,-23.564779,-46.689508,630012859,-23.564369,-46.688885,117,18.2448712947273,25.896067861137,23.1253536885287,29.5567654703231,31.2160045710387
N202-11-1,20171006,6306764,-23.567682,-46.696858,6311306,-23.566131,-46.694298,470,22.0854122316435,14.8069565217391,27.5002684545088,20.7287325859153,NA
N202-11-1,20171006,6311348,-23.566532,-46.692484,630012858,-23.56607,-46.691698,144,16.6478370466812,20.4297152494748,33.6825032505968,25.4848646476294,30.4176611014865
N202-11-1,20171006,710000649,-23.504217,-46.626734,7113150,-23.5021,-46.62422,515,24.9484435797665,22.7054276104288,43.6068668363878,38.9321180849264,33.7889254874496
N203-11-0,20171006,670005370,-23.536561,-46.633756,6700173,-23.541636,-46.634545,512,34.338920028699,29.8786526760196,32.8072468408966,30.8281126249821,26.3000241165645
N203-11-0,20171006,8412858,-23.480453,-46.602508,8412860,-23.481596,-46.60569,397,11.8077593577312,9.84981060606061,9.63092592592593,16.4110149080188,NA
N203-11-1,20171006,710002066,-23.501103,-46.616772,880000992,-23.504152,-46.613557,883,24.7919106087388,28.5185747008905,30.9726708617424,24.3888434436184,34.9830310680524
N203-11-1,20171006,710000635,-23.50225,-46.624476,7110436,-23.50099,-46.622457,384,16.3791612416727,11.4808153365216,16.1331187069533,14.4208118305522,26.7731777252377
N203-11-1,20171006,710002066,-23.501103,-46.616772,880002037,-23.499193,-46.613533,433,17.557671647645,20.7613399444448,16.509863895879,23.2654479904733,17.7145341809519
N203-11-1,20171006,800014545,-23.54232,-46.627021,8010190,-23.536209,-46.632987,1103,21.6588376095735,27.5566298899766,29.7169824093821,26.9238104824056,28.5534459658994
N203-11-1,20171006,8010134,-23.546793,-46.630797,800014545,-23.54232,-46.627021,1300,21.9303360594806,24.7161802602516,29.4118111049425,29.1395583979103,NA
N203-11-1,20171006,8010190,-23.536209,-46.632987,90017113,-23.532794,-46.632538,356,23.0411229425435,26.5411497976988,29.9264379074657,22.9126900220221,25.6806703747152
N204-11-0,20171006,100014330,-23.53988,-46.611576,1009894,-23.540361,-46.611622,12,24.8132556485212,23.1726070715935,18.3876838592211,21.7273034883279,27.8869783968668
N204-11-0,20171006,100015946,-23.542705,-46.615459,100014542,-23.543645,-46.620654,530,32.9120574803691,35.6046830886688,29.5240654482766,31.7747128786579,25.2167896149162
N204-11-0,20171006,1009894,-23.540361,-46.611622,100015939,-23.541955,-46.612795,598,23.8664506713827,24.523026674719,21.4176909292947,22.9407799994143,26.0420201997112
N204-11-0,20171006,570014314,-23.53091,-46.61583,100014331,-23.537765,-46.614604,948,33.0688750375265,28.3222079420929,26.2197550250571,27.004393829487,31.0443738187239
N204-11-1,20171006,8010135,-23.547063,-46.630595,100014556,-23.546071,-46.621939,1174,35.4665289998204,29.342062193126,21.1813953488372,27.1372881355932,31.928291256353
